timestamp,unix_time,cpu_load,ram_usage,ambient_temp,cpu_temp
2026-01-31 17:00:03,1769859003,1.3,24.5,25.07,58.75
2026-01-31 17:00:04,1769859004,90.5,24.6,25.1,63.62
2026-01-31 17:00:06,1769859006,2.8,24.6,25.12,64.0
2026-01-31 17:00:07,1769859007,92.8,24.6,25.15,66.38
2026-01-31 17:00:09,1769859009,11.2,24.6,25.17,65.88
2026-01-31 17:00:10,1769859010,85.2,24.6,25.2,67.25
2026-01-31 17:00:12,1769859012,39.8,24.6,25.22,67.12
2026-01-31 17:00:13,1769859013,56.7,24.7,25.25,67.88
2026-01-31 17:00:15,1769859015,50.8,24.7,25.27,68.25
2026-01-31 17:00:17,1769859017,40.4,24.7,25.3,68.25
2026-01-31 17:00:18,1769859018,84.3,24.7,25.32,69.38
2026-01-31 17:00:20,1769859020,12.5,24.7,25.34,68.88
2026-01-31 17:00:21,1769859021,94.5,24.7,25.37,70.12
2026-01-31 17:00:23,1769859023,2.2,24.7,25.39,69.38
2026-01-31 17:00:24,1769859024,93.0,24.7,25.41,70.75
2026-01-31 17:00:26,1769859026,13.3,24.7,25.43,70.0
2026-01-31 17:00:27,1769859027,77.4,24.7,25.45,71.0
2026-01-31 17:00:29,1769859029,39.6,24.7,25.47,70.75
2026-01-31 17:00:30,1769859030,57.5,24.7,25.49,70.75
2026-01-31 17:00:32,1769859032,67.4,24.7,25.52,71.38
2026-01-31 17:00:34,1769859034,29.8,24.7,25.54,71.25
2026-01-31 17:00:35,1769859035,95.3,24.7,25.56,72.38
2026-01-31 17:00:37,1769859037,2.2,24.7,25.58,71.62
2026-01-31 17:00:38,1769859038,97.5,24.7,25.59,72.75
2026-01-31 17:00:40,1769859040,27.7,24.7,25.61,72.25
2026-01-31 17:00:41,1769859041,66.3,24.7,25.63,72.75
2026-01-31 17:00:43,1769859043,57.6,24.7,25.65,72.38
2026-01-31 17:00:45,1769859045,39.0,24.7,25.67,72.5
2026-01-31 17:00:46,1769859046,85.5,24.7,25.68,72.88
2026-01-31 17:00:48,1769859048,6.8,24.7,25.7,71.62
2026-01-31 17:00:49,1769859049,76.7,24.7,25.72,73.62
2026-01-31 17:00:51,1769859051,30.4,24.7,25.73,73.12
2026-01-31 17:00:52,1769859052,63.7,24.7,25.75,74.12
2026-01-31 17:00:54,1769859054,43.8,24.7,25.76,74.12
2026-01-31 17:00:56,1769859056,47.5,24.7,25.78,74.62
2026-01-31 17:00:57,1769859057,60.7,24.7,25.79,74.75
2026-01-31 17:00:59,1769859059,36.8,24.7,25.8,74.75
2026-01-31 17:01:00,1769859060,88.0,24.7,25.82,75.38
2026-01-31 17:01:02,1769859062,9.9,24.8,25.83,74.75
2026-01-31 17:01:03,1769859063,97.7,24.8,25.84,75.75
2026-01-31 17:01:05,1769859065,4.5,24.8,25.85,75.0
2026-01-31 17:01:06,1769859066,84.3,24.8,25.87,75.88
2026-01-31 17:01:08,1769859068,40.4,24.8,25.88,75.5
2026-01-31 17:01:10,1769859070,37.8,24.8,25.89,75.62
2026-01-31 17:01:11,1769859071,70.9,24.8,25.9,75.75
2026-01-31 17:01:13,1769859073,26.9,24.9,25.91,75.88
2026-01-31 17:01:14,1769859074,79.8,24.9,25.92,76.25
2026-01-31 17:01:16,1769859076,16.7,24.9,25.93,75.88
2026-01-31 17:01:17,1769859077,92.0,24.9,25.93,76.5
2026-01-31 17:01:19,1769859079,29.1,24.9,25.94,76.0
2026-01-31 17:01:20,1769859080,69.1,24.7,25.95,77.12
2026-01-31 17:01:22,1769859082,41.5,24.7,25.96,76.5
2026-01-31 17:01:23,1769859083,57.9,24.7,25.96,77.38
2026-01-31 17:01:25,1769859085,48.9,24.7,25.97,77.0
2026-01-31 17:01:27,1769859087,30.3,24.7,25.97,77.12
2026-01-31 17:01:28,1769859088,77.2,24.6,25.98,77.25
2026-01-31 17:01:30,1769859090,19.6,24.6,25.98,77.12
2026-01-31 17:01:31,1769859091,96.3,24.5,25.99,78.12
2026-01-31 17:01:33,1769859093,9.8,24.5,25.99,77.25
2026-01-31 17:01:34,1769859094,89.3,24.5,25.99,78.75
2026-01-31 17:01:36,1769859096,20.8,24.5,25.99,80.5
2026-01-31 17:01:37,1769859097,81.2,24.5,26.0,79.75
2026-01-31 17:01:39,1769859099,26.2,24.5,26.0,78.88
2026-01-31 17:01:40,1769859100,71.5,24.5,26.0,78.88
2026-01-31 17:01:42,1769859102,55.0,24.5,26.0,78.5
2026-01-31 17:01:44,1769859104,44.8,24.6,26.0,79.0
2026-01-31 17:01:45,1769859105,60.2,24.6,26.0,78.62
2026-01-31 17:01:47,1769859107,31.4,24.6,26.0,78.62
2026-01-31 17:01:48,1769859108,83.7,24.6,26.0,78.88
2026-01-31 17:01:50,1769859110,8.5,24.6,26.0,78.62
2026-01-31 17:01:51,1769859111,97.8,24.5,25.99,79.5
2026-01-31 17:01:53,1769859113,7.0,24.5,25.99,78.75
2026-01-31 17:01:54,1769859114,91.0,24.5,25.99,79.62
2026-01-31 17:01:56,1769859116,33.3,24.4,25.98,79.0
2026-01-31 17:01:58,1769859118,48.9,24.4,25.98,79.25
2026-01-31 17:01:59,1769859119,75.3,24.4,25.97,79.25
2026-01-31 17:02:01,1769859121,23.6,24.4,25.97,79.38
2026-01-31 17:02:02,1769859122,83.3,24.4,25.96,80.25
2026-01-31 17:02:04,1769859124,3.2,24.3,25.96,76.75
2026-01-31 17:02:05,1769859125,100.0,24.4,25.95,76.38
2026-01-31 17:02:07,1769859127,51.0,24.5,25.94,77.75
2026-01-31 17:02:08,1769859128,100.0,24.5,25.94,79.88
2026-01-31 17:02:10,1769859130,50.6,24.5,25.93,80.38
2026-01-31 17:02:12,1769859132,100.0,24.5,25.92,81.5
2026-01-31 17:02:13,1769859133,51.9,24.5,25.91,81.62
2026-01-31 17:02:15,1769859135,89.5,24.5,25.9,82.12
2026-01-31 17:02:16,1769859136,84.4,24.5,25.89,82.5
2026-01-31 17:02:18,1769859138,59.0,24.5,25.88,82.75
2026-01-31 17:02:19,1769859139,99.8,24.5,25.87,83.5
2026-01-31 17:02:21,1769859141,50.7,24.5,25.86,83.62
2026-01-31 17:02:22,1769859142,100.0,24.5,25.85,84.38
2026-01-31 17:02:24,1769859144,50.8,24.5,25.84,84.25
2026-01-31 17:02:26,1769859146,99.3,24.6,25.82,85.0
2026-01-31 17:02:27,1769859147,50.7,24.6,25.81,84.88
2026-01-31 17:02:29,1769859149,100.0,24.6,25.8,85.62
2026-01-31 17:02:30,1769859150,52.6,24.7,25.78,85.5
2026-01-31 17:02:32,1769859152,93.0,24.6,25.77,86.12
2026-01-31 17:02:33,1769859153,63.7,24.6,25.75,86.0
2026-01-31 17:02:35,1769859155,82.1,24.6,25.74,86.5
2026-01-31 17:02:36,1769859156,72.7,24.6,25.72,86.5
2026-01-31 17:02:38,1769859158,59.9,24.6,25.71,86.75
